Reference, Quantity, Value, Footprint, Datasheet, CatNo
C1 ,1,"10uF 500V","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","","493-6892-ND"
C3 C4 ,2,"0.025uF","HV_Ceramic_Cap:Cap-Disc-D7.4-P6.4","","561R10TCCQ25-ND"
C5 C6 ,2,"2.2uF 250V","Capacitor_THT:C_Rect_L26.5mm_W8.5mm_P22.50mm_MKS4","","EF2225-ND"
C7 C8 ,2,"220pF","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","","445-173352-1-ND"
C9 C10 ,2,"0.1uF","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","","399-14010-2-ND"
H1 H2 H3 H4 ,4,"MTG","MountingHole:MountingHole_4.5mm_Pad",""
J1 ,1,"Conn_01x02","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","","WM2122-ND"
J2 ,1,"Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
J3 ,1,"Conn_01x03","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","","WM50010-03-ND"
J4 ,1,"Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
R1 R2 R7 R9 R19 R21 ,6,"1M 1/2W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","","CF12JT1M00TR-ND"
R13 R14 ,2,"1.8k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","","S1.8KHTR-ND"
R17 R18 ,2,"120k 2W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","","120KZTR-ND"
R3 R4 ,2,"220 1/2W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","","S220HTR-ND"
R5 R6 R11 R12 R15 R16 ,6,"10k 5W","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal","","A142824CT-ND"
R8 R10 R20 R22 ,4,"10k 1/2W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","","S10KHTR-ND"
RV1 RV2 ,2,"25k","Vishay_Pot_148:Potentiometer_Vishay_148-149_Single_Horizontal","","693-14910F0GJSX10253KA-ND"
U1 U2 U3 ,3,"6SN7","Octal_Sockets:AES-P-ST8-193","http://www.r-type.org/pdfs/ecc81.pdf","AES P-ST8-193"
